country,year,gdp,lexp,health,growth,food,Region,pop
Afghanistan,1995,881,51.1,NA,5.57,1840,Asia & Pacific,17100000
Afghanistan,1996,904,51.4,NA,4.14,1840,Asia & Pacific,17800000
Afghanistan,1997,930,51.1,NA,3.09,1870,Asia & Pacific,18400000
Afghanistan,1998,956,50.1,NA,2.59,1900,Asia & Pacific,18900000
Afghanistan,1999,982,51.5,NA,2.82,1850,Asia & Pacific,19400000
Afghanistan,2000,972,51.6,NA,3.49,1790,Asia & Pacific,20100000
Afghanistan,2001,871,51.7,NA,4.25,1740,Asia & Pacific,21000000
Afghanistan,2002,1060,52.4,1.48,4.72,1830,Asia & Pacific,22000000
Afghanistan,2003,1100,53,1.48,4.82,1890,Asia & Pacific,23100000
Afghanistan,2004,1060,53.5,1.48,4.47,1970,Asia & Pacific,24100000
Afghanistan,2005,1140,53.9,1.48,3.87,1950,Asia & Pacific,25100000
Afghanistan,2006,1160,54.1,1.48,3.23,1970,Asia & Pacific,25900000
Afghanistan,2007,1290,54.6,1.48,2.76,2050,Asia & Pacific,26600000
Afghanistan,2008,1300,55.2,1.48,2.51,2040,Asia & Pacific,27300000
Afghanistan,2009,1530,55.7,1.58,2.57,2080,Asia & Pacific,28000000
Afghanistan,2010,1610,56.2,1.59,2.81,2100,Asia & Pacific,28800000
Albania,1995,4130,74.1,5.26,-0.618,2720,Europe,3110000
Albania,1996,4530,74.3,6.34,-0.622,2840,Europe,3090000
Albania,1997,4070,72.5,6.47,-0.625,2730,Europe,3090000
Albania,1998,4460,74.3,6.1,-0.629,2730,Europe,3100000
Albania,1999,5100,74.4,7.18,-0.633,2800,Europe,3120000
Albania,2000,5470,74.4,7.03,-0.637,2730,Europe,3120000
Albania,2001,5960,74.5,7.24,-0.938,2800,Europe,3120000
Albania,2002,6230,74.5,7.32,-0.3,2860,Europe,3120000
Albania,2003,6620,74.6,7.64,-0.374,2770,Europe,3110000
Albania,2004,7020,74.7,9.23,-0.418,2790,Europe,3100000
Albania,2005,7460,74.9,9.79,-0.512,2870,Europe,3080000
Albania,2006,7920,75.2,9.05,-0.631,2860,Europe,3050000
Albania,2007,8450,75.4,8.46,-0.756,2860,Europe,3020000
Albania,2008,9150,75.6,8.21,-0.767,2950,Europe,2990000
Albania,2009,9530,75.9,8.42,-0.674,2990,Europe,2960000
Albania,2010,9930,76.3,8.42,-0.496,3080,Europe,2940000
Algeria,1995,9300,72.3,10,1.89,2790,Arab States,28900000
Algeria,1996,9510,72.8,10.1,1.74,2780,Arab States,29400000
Algeria,1997,9460,73,9.75,1.6,2730,Arab States,29900000
Algeria,1998,9800,73.1,9.61,1.49,2790,Arab States,30300000
Algeria,1999,9970,73.5,9.44,1.41,2840,Arab States,30800000
Algeria,2000,10200,73.9,8.96,1.35,2810,Arab States,31200000
Algeria,2001,10400,74.1,9.51,1.3,2890,Arab States,31600000
Algeria,2002,10800,74.4,8.74,1.27,2930,Arab States,32000000
Algeria,2003,11500,74.5,9.15,1.27,2970,Arab States,32400000
Algeria,2004,11800,75.1,7.8,1.31,2990,Arab States,32800000
Algeria,2005,12300,75.4,8.14,1.38,2960,Arab States,33300000
Algeria,2006,12300,75.6,8.07,1.46,3050,Arab States,33800000
Algeria,2007,12600,75.9,8.22,1.53,3040,Arab States,34300000
Algeria,2008,12700,76.1,7.84,1.62,3050,Arab States,34900000
Algeria,2009,12600,76.3,8.6,1.72,3110,Arab States,35500000
Algeria,2010,12900,76.5,8.12,1.82,3140,Arab States,36100000
Andorra,1995,26100,80.3,23.6,1.85,NA,Europe,63900
Andorra,1996,27200,80.6,23.8,0.796,NA,Europe,64400
Andorra,1997,29700,81,23.2,-0.0513,NA,Europe,64300
Andorra,1998,30800,81.3,28.7,-0.288,NA,Europe,64100
Andorra,1999,31900,81.5,20.8,0.355,NA,Europe,64400
